size_sqft,bedrooms,bathrooms,location,property_age,has_parking,distance_to_metro_km,price
2543,1,1,Mumbai,5,0,5.79,187.55
719,5,2,Mumbai,2,0,4.18,62.72
2969,1,2,Delhi,2,1,3.8,183.58
1198,4,1,Mumbai,4,1,9.89,102.41
882,4,1,Bangalore,9,1,0.72,66.86
836,4,1,Bangalore,14,0,1.12,49.27
608,3,2,Mumbai,12,0,0.26,48.07
655,1,1,Mumbai,1,1,4.41,47.38
1617,2,1,Mumbai,15,0,6.54,116.91
1990,4,3,Bangalore,19,1,7.78,96.86
916,1,4,Bangalore,14,0,8.0,25.25
2366,2,4,Bangalore,14,1,7.3,112.6
571,3,2,Bangalore,10,1,2.16,29.84
1382,3,3,Mumbai,16,0,2.52,104.3
2091,2,2,Bangalore,12,1,4.42,112.16
2235,1,1,Mumbai,18,0,3.07,150.86
603,3,3,Mumbai,16,1,6.85,35.93
1551,2,2,Mumbai,4,0,5.16,115.97
2605,5,4,Delhi,16,0,3.6,156.67
2017,3,2,Mumbai,13,1,3.27,153.97
1467,2,4,Delhi,11,0,1.11,88.0
683,4,3,Mumbai,13,0,4.58,41.61
1596,2,4,Delhi,18,0,3.08,88.19
1718,2,3,Bangalore,14,0,2.28,76.74
2709,2,4,Mumbai,3,0,3.13,211.72
2915,1,2,Bangalore,1,1,9.41,144.23
1127,5,2,Bangalore,0,1,3.02,73.28
749,4,3,Delhi,4,1,9.04,52.7
2487,3,2,Bangalore,2,1,5.33,125.12
691,3,4,Delhi,9,0,9.44,30.9
691,5,2,Bangalore,4,1,1.1,49.37
1369,5,1,Bangalore,15,1,7.44,70.15
2511,4,4,Mumbai,12,0,7.53,181.97
1459,5,1,Delhi,8,0,9.7,74.45
1770,4,1,Bangalore,7,0,6.22,83.37
1260,2,2,Delhi,14,0,0.95,73.88
2308,1,2,Delhi,12,0,8.38,123.86
995,5,2,Mumbai,13,1,3.93,84.65
768,1,3,Bangalore,2,1,1.36,45.67
1481,2,1,Mumbai,1,1,9.38,102.04
1971,2,2,Bangalore,13,1,0.87,97.63
2931,4,3,Mumbai,18,0,9.4,205.79
2438,4,4,Mumbai,15,1,8.18,181.2
1840,5,1,Mumbai,10,1,1.24,145.79
1651,5,4,Mumbai,14,1,1.98,124.92
686,4,4,Delhi,3,0,2.36,57.38
1270,3,3,Bangalore,6,0,8.4,57.71
1375,3,3,Delhi,15,0,1.1,81.25
922,4,2,Mumbai,12,0,8.36,62.17
2475,2,1,Delhi,11,1,7.73,128.19
1947,2,4,Bangalore,4,1,5.82,97.72
2923,3,3,Mumbai,9,0,7.19,207.61
1308,3,1,Delhi,5,0,9.48,76.73
2697,3,1,Mumbai,9,0,9.98,190.91
2053,1,3,Bangalore,8,0,0.84,93.57
624,5,3,Mumbai,1,0,5.74,59.64
1516,2,2,Mumbai,8,0,6.68,104.33
615,2,2,Mumbai,10,0,8.34,34.02
1971,2,4,Bangalore,9,1,0.7,105.37
1854,1,3,Delhi,2,0,7.37,96.69
2845,4,4,Bangalore,3,0,0.26,148.3
1326,3,3,Mumbai,7,0,1.49,95.71
1391,4,1,Delhi,10,0,2.37,87.21
964,4,1,Bangalore,15,1,4.61,54.99
1425,2,3,Bangalore,19,1,7.64,59.44
694,4,3,Delhi,19,0,2.32,37.31
784,4,1,Delhi,3,1,4.2,51.45
1283,2,1,Delhi,3,1,4.04,75.69
1329,5,4,Delhi,19,1,3.26,88.39
1340,3,3,Delhi,5,1,6.79,84.3
887,2,2,Bangalore,19,0,7.43,34.57
777,2,4,Bangalore,11,1,0.49,44.84
1079,3,2,Delhi,2,0,5.17,50.22
2962,3,3,Bangalore,1,0,4.23,141.07
2387,5,3,Mumbai,0,0,5.65,181.63
2551,2,3,Delhi,11,0,4.82,139.3
1058,4,1,Delhi,6,1,6.1,68.15
1631,3,2,Mumbai,7,1,6.8,120.36
2729,2,1,Delhi,19,1,1.61,167.3
1619,5,2,Delhi,7,0,6.33,95.1
920,5,2,Bangalore,19,1,0.64,59.09
2076,2,4,Delhi,1,1,3.45,128.3
2387,1,2,Mumbai,1,0,6.79,171.23
2537,3,2,Mumbai,13,1,0.69,197.66
2672,5,2,Delhi,13,0,6.09,164.37
1173,2,4,Delhi,5,1,9.92,68.41
1879,1,4,Bangalore,12,1,6.22,90.13
2841,3,3,Bangalore,15,0,9.26,125.65
2514,4,4,Bangalore,12,0,5.65,121.35
2234,4,1,Bangalore,14,1,6.57,110.77
1115,3,2,Mumbai,10,0,0.33,82.77
1878,1,4,Mumbai,13,1,1.1,147.36
2485,5,1,Mumbai,7,0,4.9,191.66
2378,3,3,Mumbai,10,0,1.06,170.95
628,1,2,Bangalore,19,1,6.0,18.93
1635,3,1,Mumbai,2,0,5.87,127.32
2202,4,3,Delhi,18,1,1.11,143.76
670,5,1,Bangalore,19,0,6.25,27.82
2535,2,2,Mumbai,10,0,5.51,184.94
1543,3,4,Mumbai,18,1,4.85,115.35
926,3,4,Delhi,13,1,3.22,57.33
1743,1,3,Mumbai,19,1,8.96,112.29
2152,5,2,Bangalore,15,0,9.76,106.27
880,1,4,Delhi,3,0,9.32,34.37
1961,1,3,Bangalore,17,1,5.88,94.17
812,2,1,Delhi,18,0,5.16,40.27
772,3,4,Delhi,19,0,8.75,27.8
1121,1,3,Delhi,9,0,6.66,65.73
921,1,2,Mumbai,16,1,2.14,61.97
829,2,1,Mumbai,15,0,1.29,56.73
2271,5,4,Delhi,3,0,6.28,143.99
1001,2,4,Bangalore,6,1,3.76,48.13
1255,3,3,Mumbai,13,0,4.08,85.37
1007,5,4,Mumbai,14,0,4.44,73.08
803,2,4,Mumbai,8,1,2.17,64.83
1801,3,2,Delhi,3,1,3.21,118.72
2930,2,2,Mumbai,12,1,7.28,208.74
2235,3,1,Delhi,4,1,6.79,142.81
1361,3,3,Bangalore,11,0,2.42,67.5
1246,5,3,Delhi,19,0,3.93,75.02
2206,2,4,Delhi,4,1,4.54,131.6
2925,3,4,Mumbai,17,1,3.66,220.65
882,2,1,Mumbai,15,0,5.5,63.32
1935,4,3,Mumbai,16,0,0.41,150.68
2744,2,1,Mumbai,9,0,6.73,199.34
1424,3,3,Mumbai,18,1,2.18,105.84
1088,5,3,Mumbai,7,1,8.42,84.79
839,4,3,Bangalore,2,0,5.62,45.52
2556,4,2,Bangalore,6,0,7.82,125.11
725,1,2,Bangalore,4,1,0.65,39.0
2559,1,1,Delhi,13,1,6.87,143.64
919,1,3,Mumbai,5,0,7.34,57.1
1842,1,4,Mumbai,14,0,4.27,125.24
967,4,1,Delhi,1,1,9.58,67.8
2976,5,1,Bangalore,19,1,6.25,153.25
1589,2,3,Bangalore,17,0,9.24,62.17
2284,3,3,Mumbai,6,0,6.94,165.11
1537,5,4,Bangalore,0,0,7.45,79.82
2373,4,3,Mumbai,0,0,5.31,182.21
1191,5,2,Bangalore,4,1,8.92,61.42
793,5,2,Mumbai,15,1,6.82,72.13
943,5,2,Mumbai,7,0,9.92,64.44
563,3,3,Mumbai,12,0,3.63,33.91
2440,1,3,Mumbai,12,1,2.26,187.63
2887,3,2,Mumbai,8,0,5.76,209.76
795,5,1,Bangalore,19,0,9.14,32.36
2485,1,2,Delhi,8,1,9.1,137.6
1401,5,3,Delhi,1,1,1.46,98.01
2054,2,4,Bangalore,19,0,1.43,97.62
1558,1,4,Bangalore,12,0,8.64,66.62
2261,5,3,Mumbai,18,0,7.55,165.17
2022,1,1,Delhi,18,0,2.83,107.93
844,5,1,Delhi,5,1,8.35,51.87
2014,2,2,Delhi,19,1,2.98,124.07
2562,4,3,Bangalore,12,0,3.08,127.5
771,3,1,Bangalore,4,1,8.12,38.68
1437,5,2,Bangalore,8,1,6.46,78.53
690,1,2,Bangalore,10,0,9.05,9.86
572,4,3,Delhi,6,1,8.08,30.91
1674,5,2,Delhi,18,0,7.71,89.95
2157,4,2,Mumbai,5,0,3.26,164.96
1093,3,2,Bangalore,18,1,4.17,49.23
643,1,4,Mumbai,11,0,7.7,30.98
2817,1,3,Delhi,3,0,0.45,170.62
1513,3,4,Delhi,15,1,4.96,90.39
1796,5,1,Mumbai,9,1,2.88,143.73
1962,1,2,Mumbai,18,1,3.26,145.68
1398,3,2,Bangalore,13,0,9.53,64.07
1326,3,4,Delhi,6,0,9.87,64.47
690,4,3,Mumbai,2,1,3.21,62.63
1646,3,2,Bangalore,0,1,4.14,89.88
2712,1,3,Mumbai,16,0,7.97,185.69
946,5,1,Mumbai,16,1,7.31,75.32
2373,2,2,Delhi,17,0,0.89,143.09
2794,3,2,Mumbai,12,0,1.5,208.42
2011,5,4,Delhi,19,0,2.37,116.17
1605,5,3,Mumbai,5,1,9.83,123.67
2857,2,1,Bangalore,13,0,6.03,125.11
1256,3,1,Delhi,16,0,4.69,60.39
941,2,4,Bangalore,6,1,7.51,48.08
2995,3,1,Bangalore,7,0,4.3,146.46
2357,1,3,Delhi,1,0,7.58,135.52
2874,1,3,Bangalore,0,1,3.22,148.71
2672,2,3,Mumbai,0,1,2.5,209.07
2865,2,3,Delhi,9,1,0.58,178.37
2560,2,2,Bangalore,16,0,6.93,116.6
1418,3,2,Delhi,1,1,0.57,98.56
2618,2,2,Mumbai,7,1,2.64,201.02
551,2,3,Bangalore,13,0,0.27,26.73
2367,2,3,Mumbai,5,1,9.06,165.74
1481,1,3,Mumbai,10,1,8.12,102.69
2022,1,2,Delhi,0,0,3.53,124.65
1730,3,4,Mumbai,18,0,0.89,122.42
2416,1,4,Bangalore,5,0,1.88,127.03
2051,4,3,Bangalore,7,1,5.22,107.38
564,4,2,Mumbai,16,0,8.07,34.46
2655,2,2,Bangalore,3,1,5.54,135.15
826,3,2,Delhi,17,0,4.58,45.58
628,5,2,Delhi,18,1,2.36,50.23
1802,2,1,Mumbai,14,1,9.7,129.11
1066,3,1,Bangalore,1,0,8.33,54.61
1347,5,2,Mumbai,14,0,2.08,111.81
2426,1,1,Bangalore,13,1,6.43,115.56
725,4,1,Delhi,16,0,2.13,40.4
2483,4,4,Bangalore,14,1,8.28,116.61
2244,3,2,Delhi,1,0,1.28,139.58
2991,2,1,Mumbai,9,0,6.18,220.56
926,5,2,Bangalore,12,1,1.64,55.16
2776,1,2,Bangalore,8,1,9.28,127.56
616,2,4,Delhi,7,1,7.47,38.27
651,2,1,Bangalore,17,1,1.83,32.91
2648,5,2,Bangalore,8,1,7.65,138.83
1927,3,4,Bangalore,12,0,5.09,91.04
1496,3,2,Delhi,13,1,6.32,85.61
2516,2,3,Bangalore,11,0,4.42,121.98
1142,3,1,Mumbai,2,1,7.98,87.48
2849,4,4,Bangalore,0,0,0.4,156.71
1641,2,4,Bangalore,6,1,6.27,91.16
1857,3,2,Delhi,13,0,4.95,105.21
800,4,3,Mumbai,19,1,7.21,56.25
2084,4,2,Bangalore,12,1,2.67,113.94
2829,5,4,Delhi,9,0,3.71,169.33
2851,4,2,Mumbai,13,0,5.03,203.86
2035,4,2,Mumbai,1,1,6.55,157.55
622,5,3,Mumbai,15,0,3.53,44.99
2904,3,1,Mumbai,14,1,8.31,216.45
1532,3,1,Delhi,16,1,0.61,100.42
1672,1,3,Delhi,7,1,6.74,97.65
1537,2,4,Delhi,11,0,2.74,88.19
1133,1,1,Mumbai,18,0,5.73,64.63
2653,5,2,Bangalore,3,1,7.33,141.89
1141,4,1,Delhi,1,1,2.08,87.42
1525,2,3,Bangalore,3,1,8.17,81.04
1635,4,1,Delhi,11,0,6.65,86.18
2783,2,2,Mumbai,19,1,4.0,201.87
1652,2,2,Delhi,11,1,3.5,107.59
1419,3,2,Bangalore,5,0,2.96,74.81
2586,1,3,Delhi,19,1,8.49,139.32
1516,4,2,Delhi,10,0,0.56,94.58
679,5,3,Mumbai,7,0,8.47,47.12
1095,3,3,Delhi,17,1,3.63,57.85
2065,4,1,Delhi,19,0,9.67,119.89
2757,5,2,Mumbai,15,0,1.14,216.58
1045,5,1,Delhi,15,0,1.81,66.57
1782,2,4,Mumbai,11,1,0.36,136.43
1167,2,1,Bangalore,11,1,0.3,68.73
1727,4,1,Mumbai,4,0,6.56,128.08
1692,5,2,Delhi,14,1,4.87,102.39
754,4,1,Delhi,0,1,2.41,67.02
525,5,1,Mumbai,15,0,1.65,42.95
688,4,4,Mumbai,9,0,0.29,56.86
2125,5,4,Bangalore,8,1,4.15,122.77
598,5,2,Delhi,1,0,4.56,51.03
1888,2,2,Mumbai,9,1,2.9,149.92
1723,5,4,Mumbai,9,0,8.02,122.54
2946,5,1,Mumbai,18,1,3.18,233.24
1072,5,2,Mumbai,2,1,2.34,93.42
725,1,2,Bangalore,8,0,4.56,24.21
1365,2,1,Mumbai,16,1,9.55,94.8
1355,3,2,Delhi,6,1,6.06,78.81
932,3,1,Mumbai,1,0,6.98,76.92
746,3,3,Delhi,16,1,3.73,54.09
1459,4,2,Mumbai,16,1,8.66,106.92
1253,4,1,Mumbai,3,0,8.77,88.58
706,4,4,Bangalore,14,0,4.8,30.86
832,3,2,Bangalore,17,1,1.46,49.84
864,4,3,Bangalore,11,0,3.46,40.95
1045,2,1,Mumbai,9,1,4.96,86.5
1967,3,1,Bangalore,16,0,6.43,87.99
1553,5,1,Bangalore,16,0,0.39,82.31
2201,3,3,Mumbai,3,1,0.3,170.75
2369,1,2,Bangalore,10,0,9.87,101.97
2348,1,3,Delhi,15,1,9.32,119.06
1415,1,4,Bangalore,17,0,2.97,57.42
1716,5,3,Delhi,2,0,4.59,102.22
1676,5,2,Bangalore,19,1,1.33,91.9
1891,3,1,Bangalore,16,0,7.98,89.03
1845,3,3,Mumbai,9,1,9.44,143.36
1542,1,1,Mumbai,17,0,9.57,97.54
1604,4,4,Bangalore,3,1,1.47,93.11
2187,5,2,Delhi,18,1,1.51,139.22
1297,3,3,Mumbai,16,0,3.6,100.05
1419,4,1,Mumbai,18,0,8.14,95.48
2980,5,1,Delhi,14,0,0.29,187.19
1669,3,4,Delhi,6,0,5.78,108.45
2975,2,3,Delhi,5,0,4.07,173.99
1778,3,3,Delhi,4,1,3.61,116.0
1527,4,4,Bangalore,11,1,5.36,74.2
903,5,2,Mumbai,3,0,3.99,79.89
2548,1,3,Delhi,4,1,2.08,149.16
1489,4,2,Bangalore,3,0,6.88,64.01
2002,3,4,Mumbai,6,0,0.28,157.38
917,4,3,Delhi,5,1,4.29,63.06
1939,3,3,Delhi,9,0,0.91,116.64
2042,5,4,Delhi,3,1,3.04,130.86
2052,4,2,Mumbai,4,1,7.1,155.32
651,3,3,Mumbai,3,0,3.17,45.37
1187,3,3,Bangalore,7,0,8.61,49.89
2308,4,4,Bangalore,2,0,7.08,120.81
679,2,4,Mumbai,14,0,8.15,35.37
1227,5,4,Mumbai,6,0,2.41,91.47
992,4,1,Delhi,0,0,7.57,51.86
758,5,2,Mumbai,6,0,5.78,62.7
1639,2,3,Mumbai,10,0,5.02,111.69
2963,4,1,Delhi,17,1,4.75,176.35
2074,1,1,Mumbai,5,0,3.18,143.81
2761,4,1,Mumbai,16,0,5.1,207.99
548,4,1,Delhi,17,0,2.67,32.36
1331,2,3,Delhi,15,1,7.99,76.96
2772,3,2,Delhi,12,0,2.82,164.42
2382,2,1,Mumbai,6,1,9.01,177.38
970,4,2,Bangalore,14,1,7.16,49.38
848,5,2,Mumbai,6,1,4.75,70.81
1515,5,4,Mumbai,0,1,7.03,126.9
1625,2,3,Mumbai,14,1,8.82,115.2
946,3,3,Mumbai,6,0,9.14,60.53
1574,2,2,Delhi,11,0,4.7,87.53
1080,1,2,Delhi,5,0,9.48,47.61
2632,1,3,Delhi,15,0,9.81,131.06
1505,2,1,Bangalore,12,1,7.21,64.93
2289,3,4,Bangalore,15,0,1.57,107.93
2594,5,4,Mumbai,10,0,8.72,191.51
857,1,3,Bangalore,6,1,3.47,51.29
699,3,2,Mumbai,19,1,8.47,34.54
2189,2,1,Delhi,15,1,2.04,127.97
1048,1,4,Bangalore,15,1,0.68,58.22
2772,1,1,Bangalore,12,1,4.52,135.26
2340,3,4,Mumbai,4,1,2.22,179.82
2408,3,1,Mumbai,9,1,2.0,185.39
2217,5,3,Delhi,5,0,7.86,137.96
2751,5,4,Mumbai,15,1,6.48,211.68
2420,5,4,Bangalore,8,0,7.93,116.6
1459,4,1,Delhi,12,0,0.34,96.44
1981,3,4,Mumbai,16,0,2.48,148.21
2302,1,3,Delhi,18,1,4.59,125.82
2944,2,3,Delhi,1,0,9.08,160.19
2596,2,1,Bangalore,15,0,2.22,123.51
2418,4,4,Delhi,3,1,6.83,145.7
1635,4,1,Mumbai,15,1,5.23,121.33
2163,3,2,Mumbai,12,1,8.43,153.31
680,2,2,Bangalore,17,1,2.45,33.29
2135,4,3,Mumbai,6,0,0.58,173.12
1170,3,1,Mumbai,13,0,1.8,87.0
2279,3,1,Mumbai,6,1,2.59,177.13
2758,3,1,Delhi,15,1,6.38,163.1
1914,4,3,Bangalore,16,1,9.37,92.5
1428,4,4,Delhi,8,1,9.14,87.89
1420,2,1,Mumbai,3,1,4.69,108.13
2649,5,2,Delhi,19,1,0.27,169.98
960,4,3,Delhi,0,1,2.52,71.31
2424,5,3,Bangalore,8,1,1.8,133.75
1078,2,4,Bangalore,2,1,3.91,56.76
561,3,2,Bangalore,18,0,9.08,11.12
2858,1,2,Bangalore,8,1,1.38,148.46
1477,5,2,Bangalore,9,1,6.19,80.75
1182,1,2,Bangalore,6,0,3.74,54.2
2573,1,2,Bangalore,5,0,4.02,123.17
2532,4,2,Mumbai,6,1,4.29,193.8
754,5,4,Delhi,7,1,1.79,55.71
1852,3,4,Bangalore,18,0,3.57,88.01
2574,3,4,Delhi,9,0,4.34,155.03
668,1,3,Bangalore,18,0,2.48,25.46
1023,5,2,Bangalore,4,0,4.27,64.05
2816,4,1,Mumbai,0,0,7.07,212.94
2211,1,1,Delhi,1,0,8.72,131.59
2597,2,4,Delhi,8,1,6.26,156.88
1273,2,3,Mumbai,13,1,9.01,83.87
1443,2,1,Bangalore,8,1,7.82,64.59
1397,1,1,Delhi,18,1,4.31,74.0
1241,3,3,Delhi,5,0,3.0,71.84
1114,1,4,Bangalore,2,0,3.04,54.15
1975,5,1,Mumbai,17,1,0.97,152.3
1929,4,3,Mumbai,13,0,2.54,142.42
1513,4,3,Delhi,8,0,3.79,94.65
1254,2,4,Mumbai,1,1,8.61,88.6
2064,3,2,Delhi,15,0,1.39,127.2
1672,1,1,Bangalore,9,0,4.18,77.15
1055,4,4,Bangalore,16,0,6.95,40.6
730,4,2,Delhi,4,0,9.42,36.48
1592,3,3,Bangalore,1,1,9.66,75.21
2662,4,4,Mumbai,10,0,2.73,194.89
1116,3,3,Delhi,6,0,8.26,60.7
1543,5,2,Delhi,1,0,7.7,94.01
953,1,1,Mumbai,0,0,1.89,73.09
1420,1,3,Mumbai,11,1,0.91,112.42
1728,1,3,Delhi,2,1,9.79,80.5
2281,1,4,Delhi,19,1,8.19,123.72
831,5,1,Delhi,6,0,1.17,58.93
1148,2,3,Delhi,12,1,3.69,66.31
1509,4,1,Mumbai,4,1,3.34,126.71
645,4,2,Bangalore,15,0,1.78,37.17
2064,5,2,Mumbai,16,0,8.18,149.64
2733,5,4,Delhi,18,0,5.03,166.12
2993,1,3,Delhi,8,0,9.36,166.53
825,3,4,Bangalore,1,1,5.66,47.34
1341,2,4,Bangalore,10,0,7.83,55.3
1091,3,2,Delhi,11,0,4.58,55.81
2775,1,4,Bangalore,5,1,2.9,138.23
936,5,2,Mumbai,19,1,3.0,77.11
1268,5,2,Bangalore,1,0,0.71,75.06
1266,2,3,Mumbai,9,1,1.95,100.6
2779,4,4,Delhi,15,1,9.45,161.75
2835,4,2,Delhi,17,0,7.08,164.19
2774,4,2,Delhi,18,1,1.31,175.41
2647,3,4,Mumbai,10,0,2.17,202.37
1040,2,3,Delhi,11,1,6.28,65.47
558,2,3,Mumbai,1,0,7.46,41.01
1662,5,2,Mumbai,17,1,4.98,131.34
2226,4,4,Mumbai,6,1,5.15,173.97
574,1,1,Delhi,10,0,1.53,28.76
2527,2,3,Bangalore,4,1,0.8,135.49
2491,1,1,Mumbai,2,0,6.57,177.08
1011,1,3,Mumbai,1,1,5.36,65.94
2614,4,4,Bangalore,1,1,7.29,133.94
2769,4,2,Delhi,16,1,7.92,183.52
2918,3,2,Bangalore,5,1,10.0,142.67
1245,3,4,Bangalore,9,1,4.94,69.2
2827,2,2,Bangalore,7,1,3.64,146.74
785,2,1,Bangalore,1,0,7.13,37.07
2458,4,3,Delhi,17,1,9.86,138.6
1530,4,1,Mumbai,11,0,3.96,121.94
749,4,3,Mumbai,7,0,4.03,53.05
1813,2,3,Delhi,8,1,4.27,112.63
1564,5,2,Bangalore,19,1,1.04,80.69
1859,3,4,Delhi,3,0,0.56,117.48
783,5,3,Mumbai,13,0,8.85,63.64
2392,1,2,Mumbai,15,1,0.7,165.56
2459,4,1,Mumbai,1,0,6.71,192.04
735,5,2,Bangalore,14,1,2.11,45.72
1248,3,4,Mumbai,0,0,3.96,91.06
1284,1,2,Delhi,8,1,7.5,68.92
